"id","geom","hauteur","ordre","rayon","texte","central","ausol"
57,"01010000A0E6100000A0B85386DB5BEEBF234A47EA0B154740CDCCCCCCCC0C4F40",NULL,NULL,"8","5_b",False,True
63,"01010000A0E6100000D7AB5D1F215CEEBF5B38F3D60E154740CDCCCCCCCC0C4F40",NULL,NULL,"7","5_o",False,False
65,"01010000A0E61000009E3BD4C25E5CEEBFB565BE540B154740CDCCCCCCCC0C4F40",NULL,NULL,"8","5_m",False,True
66,"01010000A0E610000076FE7019145BEEBF53F4D04710154740CDCCCCCCCC0C4F40",NULL,NULL,"2","5_l",False,True
98,"01010000A0E6100000F9DDCA786B6FF2BFC531F990E11347400000E2857CDF4A40",NULL,NULL,NULL,"5_c",False,False
182,"01010000A0E61000000C6C3F047B6FF2BF7F053249E0134740000049C753025140",NULL,NULL,NULL,"5_a",False,False
84,"01010000A0E6100000B2D335AFFF71F2BFBA26A079F213474000008AFFDD584940",NULL,NULL,"7","h-2_3_a-pecheur",True,False
256,"01010000A0E61000005391D5F5F76FF2BF708EFEF7FB13474000008A3FCDF44940",NULL,NULL,"10","h-4_a-grosse_horloge",True,False
58,"01010000A0E61000003D3F32F3A55CEEBF89056AD60C154740CDCCCCCCCC0C4F40",NULL,NULL,"9","5_e",False,True
271,"01010000A0E6100000D798B723DE6DF2BF24D7CD5BFD1347400000C0ADFF074A40",NULL,NULL,"9","5_w",False,False
272,"01010000A0E6100000B780299AE46DF2BF35416D4DF01347400000F2DECCFE4940",NULL,10,"17","6_j",False,False
273,"01010000A0E610000065395B72EA6EF2BFF8AE7C7CFE1347400000A20A325C4940",NULL,9,"12","6_i",False,False
274,"01010000A0E610000073E940504F6FF2BFA7DB732FFE13474000002A15A0C54840",NULL,NULL,"8","5_b",False,True
275,"01010000A0E610000065EBE38DF96EF2BFD8117E3EFD1347400000BC7D8BE34940",NULL,NULL,"9","5_e",False,True
276,"01010000A0E61000006CE8CE7BBA6EF2BF0E82B481FF134740000002DD7C4C4940",NULL,NULL,"7","5_g",False,True
277,"01010000A0E61000005ED905836B6EF2BFFA563552001447400000000000004A40",NULL,NULL,"8","5_j",False,True
278,"01010000A0E610000006B92E63656EF2BF49FCDA73FE1347400000BAB5A3DD4840",NULL,NULL,"9","5_a",False,False
279,"01010000A0E61000003A326D3C346EF2BFF0408B88001447400000C4492A094A40",NULL,NULL,"8","5_d",False,False
280,"01010000A0E6100000898BDDE5876EF2BF4108D9C6001447400000BAA8C05D4940",NULL,NULL,"7","5_o",False,False
281,"01010000A0E6100000C5BA6C3DF76DF2BF44A649BBFE13474000007A8882BD4840",NULL,NULL,"7","5_n",False,False
282,"01010000A0E61000003428F975AF6DF2BFA399E6000014474000001CA2C4664940",NULL,NULL,"8","5_m",False,True
284,"01010000A0E610000012FC94FDB86DF2BFA791E07CFE13474000008CFB36254A40",NULL,NULL,"5","5_u",False,False
285,"01010000A0E610000067C38102686DF2BF85072E95FE1347400000428925904940",NULL,NULL,"8.5","5_c",False,False
286,"01010000A0E61000002312C0A99B6DF2BF6B0522D0FC1347400000EC900B8A4940",NULL,NULL,"9","5_f",False,False
287,"01010000A0E6100000062150054B6DF2BF1176B88EFD134740000064B4125E4940",NULL,NULL,"6","5_h",False,False
288,"01010000A0E6100000EF2E00F72B6DF2BF9FA8A849FC1347400000A691BA5B4940",NULL,NULL,"8","5_i",False,False
289,"01010000A0E610000069B0F640636DF2BF49A6528DFB1347400000D2E130654940",NULL,NULL,"6","5_q",False,False
290,"01010000A0E61000004F3927A8B16DF2BFDDE29941FB1347400000FA4C296F4940",NULL,NULL,"5","5_l",False,False
68,"01010000A0E6100000304CCC89405CEEBFF0BFC11E11154740CDCCCCCCCC0C4F40",NULL,NULL,"8.5","5_c",False,False
62,"01010000A0E6100000B0F64E2EE95CEEBFDB716EA311154740CDCCCCCCCC0C4F40",NULL,NULL,"8","5_d",False,False
64,"01010000A0E6100000B12BA05EB45CEEBF049B81D712154740CDCCCCCCCC0C4F40",NULL,NULL,"7","5_n",False,False
291,"01010000A0E6100000723EDD211C6EF2BF2CDC143EFB1347400000A264DE9D4940",NULL,NULL,"9","5_g",False,False
292,"01010000A0E6100000A827CE31BF6DF2BF304A9B0AFA1347400000029FA56E4940",NULL,NULL,"10","5_r",False,False
293,"01010000A0E61000002D042750636DF2BFC267F510FA1347400000EA30A3684940",NULL,NULL,"6","5_s",False,True
294,"01010000A0E61000008374A8DD466DF2BF7A36C57FF9134740000002D56C654940",NULL,NULL,"5","5_t",False,False
295,"01010000A0E61000001B209FC4516DF2BFB0DCC396F71347400000AA0696654940",NULL,NULL,"9","5_p",False,False
296,"01010000A0E6100000F9943DB2CE6DF2BF33A7C81FF81347400000CC069F764940",NULL,NULL,"9","5_c",False,False
297,"01010000A0E6100000BCF81E3BB36DF2BF93D6A582F6134740000034B4FB144940",NULL,NULL,"8","5_n",False,False
298,"01010000A0E6100000CA78B4E8E86DF2BF243E4C47F6134740000042138B744940",NULL,NULL,"7","5_e",False,False
